title,name,location,time,verified,review,aircraft,travel,seat_type,route,flown,rating,comf_rating,cabin_rating,food_rating,inflight_rating,ground_rating,money_rating,recomindation
Qatar Airways is my first option,Herman Troubleyn,Belgium,1st July 2024,Not Verified,1st July 2024,A380 / Boeing 787,A380 / Boeing 787,Economy Class,Bangkok to Brussels via Doha,June 2024,10/10,5.0,5.0,4.0,5.0,5.0,4,
aren’t anything special,Richard Laycock,United Kingdom,29th June 2024,Trip Verified,29th June 2024,,Solo Leisure,Economy Class,Hanoi to Manchester via Doha,March 2024,6/10,3.0,2.0,1.0,4.0,5.0,2,
increase Avios required for upgrades,S Hartaye,Norway,27th June 2024,Trip Verified,27th June 2024,Boeing 787,Boeing 787,Business Class,Doha to Oslo,June 2024,2/10,3.0,4.0,,,2.0,1,
poor standard of food,Michael Schade,Germany,26th June 2024,Trip Verified,26th June 2024,Boeing 787-9,Boeing 787-9,Economy Class,Munich to Doha,June 2024,3/10,3.0,4.0,1.0,4.0,4.0,1,
Had a very good flight,Alimah Lawrie,Singapore,23rd June 2024,Not Verified,23rd June 2024,,Family Leisure,Business Class,Singapore to Edinburgh via Doha,June 2024,8/10,5.0,5.0,5.0,5.0,5.0,4,
request for a refund,Susan Trehy,Portugal,15th June 2024,Trip Verified,15th June 2024,,Couple Leisure,Economy Class,Madrid to Bangkok via Doha,March 2024,1/10,1.0,1.0,1.0,3.0,1.0,1,
always a pleasure to fly with Qatar,Erich Lichtscheidl,Austria,14th June 2024,Not Verified,14th June 2024,Boeing 777-300ER and Boeing 787-9,Boeing 777-300ER and Boeing 787-9,Business Class,Hong Kong to Vienna via Doha,June 2024,9/10,5.0,5.0,5.0,5.0,5.0,5,
assume I was not served the right meal,L Goh,Singapore,11th June 2024,Trip Verified,11th June 2024,,Solo Leisure,Economy Class,Singapore to Doha,May 2024,1/10,4.0,1.0,1.0,3.0,4.0,2,
Kudos to great service,S Hassin,Qatar,11th June 2024,Trip Verified,11th June 2024,Boeing 777-300,Boeing 777-300,First Class,Doha to Beirut,June 2024,10/10,5.0,5.0,4.0,,4.0,4,
ordered meal wasn’t on board,Michael Schade,Germany,8th June 2024,Trip Verified,8th June 2024,Boeing 787-9,Boeing 787-9,Business Class,Doha to Munich,June 2024,3/10,4.0,5.0,1.0,4.0,3.0,1,
Flight was smooth and uneventful,Michael Schade,Germany,8th June 2024,Trip Verified,8th June 2024,A380,A380,Economy Class,Bangkok to Doha,June 2024,7/10,4.0,5.0,3.0,5.0,5.0,3,
unnecessary delay,Malek Alameh,Qatar,6th June 2024,Trip Verified,6th June 2024,,Solo Leisure,Economy Class,Doha to Beirut,June 2024,3/10,1.0,1.0,1.0,,1.0,1,
not able to provide the same food,J Geyre,Canada,5th June 2024,Trip Verified,5th June 2024,,Family Leisure,Economy Class,Doha to Montreal,February 2024,1/10,1.0,1.0,1.0,1.0,2.0,1,
the 12.55 flight was left,Sarwan Sktani,Iraq,1st June 2024,Trip Verified,1st June 2024,,Business,Economy Class,Doha to Erbil,June 2024,1/10,2.0,5.0,4.0,3.0,1.0,2,
seat was narrower than usual,Thomas Chia,Singapore,1st June 2024,Trip Verified,1st June 2024,Boeing 777,Boeing 777,Economy Class,Singapore to Nice via Doha,May 2024,1/10,1.0,5.0,3.0,3.0,4.0,3,
change flights to week later,M Sharp,Australia,31st May 2024,Trip Verified,31st May 2024,,Family Leisure,Economy Class,Sydney to Dublin via Doha,May 2024,1/10,,,,,1.0,1,
they lost my luggage,Adriaen Luijks,Netherlands,31st May 2024,Trip Verified,31st May 2024,,Family Leisure,Economy Class,Amsterdam to Ho Chi Minh City via Doha,October 2023,1/10,4.0,4.0,4.0,4.0,3.0,1,
I can highly recommend,E Caredi ,United Kingdom,30th May 2024,Trip Verified,30th May 2024,Boeing 787-9,Boeing 787-9,Economy Class,Doha to Manchester,February 2024,10/10,5.0,5.0,4.0,5.0,5.0,5,
excellent service onboard,E Caredi,United Kingdom,30th May 2024,Trip Verified,30th May 2024,Boeing 787-8,Boeing 787-8,Economy Class,Port Harcourt  to Doha ,March 2024,10/10,4.0,5.0,4.0,5.0,4.0,5,
1 hour stuck inside a very hot plane,Sal Rodrigues,Poland,30th May 2024,Trip Verified,30th May 2024,Boeing 787,Boeing 787,Economy Class,Goa to Warsaw via Doha,May 2024,1/10,1.0,4.0,2.0,1.0,1.0,1,
lost my 7-year-old daughter's luggage and golf clubs,E Harsten,Cambodia,30th May 2024,Trip Verified,30th May 2024,A350,A350,Economy Class,Singapore to Edinburgh via Doha,May 2024,1/10,1.0,4.0,2.0,,1.0,3,
reached out to seek compensation,T Keane,Cayman Islands,30th May 2024,Trip Verified,30th May 2024,,Couple Leisure,Economy Class,Miami to Davao via Doha,April 2024,1/10,1.0,1.0,2.0,,1.0,1,
all expectations met,Peter Pomeranze,United States,29th May 2024,Trip Verified,29th May 2024,A350-900,A350-900,Business Class,Jakarta to Doha,May 2024,9/10,5.0,4.0,5.0,5.0,4.0,5,
Food nothing to write home about,B Morley,United Kingdom,29th May 2024,Trip Verified,29th May 2024,,Solo Leisure,Business Class,Doha to Cebu,June 2023,6/10,5.0,5.0,3.0,4.0,4.0,3,
crew are really attentive,Mikaela Loridana,Romania,29th May 2024,Not Verified,29th May 2024,A320,A320,Business Class,Bucharest to Doha,April 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
cabin staff was gossiping loudly,Alwaleed Althani,Qatar,28th May 2024,Trip Verified,28th May 2024,A350-900,A350-900,Business Class,Doha to Jiohannesburg,May 2024,7/10,5.0,3.0,2.0,3.0,5.0,4,
Overall a good trip,G Meares,Lebanon,27th May 2024,Trip Verified,27th May 2024,A350-1000,A350-1000,Economy Class,Auckland to Beirut via Doha,May 2024,7/10,4.0,4.0,4.0,3.0,4.0,4,
downgrade from QSuites,E Wren,United Kingdom,27th May 2024,Trip Verified,27th May 2024,Boeing 777,Boeing 777,Business Class,Doha to Kuala lumpur ,May 2024,1/10,2.0,5.0,3.0,1.0,1.0,1,
an excellent airline,John Duffus,Thailand,27th May 2024,Trip Verified,27th May 2024,A350/777-300,A350/777-300,Business Class,Edinburgh to Bangkok via Doha,May 2024,10/10,5.0,5.0,4.0,,5.0,4,
definitely choose Qatar Airways again,T Macaule,Ireland,25th May 2024,Trip Verified,25th May 2024,,Couple Leisure,Economy Class,Dublin to Perth via Doha,May 2024,9/10,5.0,5.0,5.0,5.0,5.0,4,
Nothing to fault,Ross Clark,United Kingdom,21st May 2024,Not Verified,21st May 2024,A350/A380,A350/A380,Economy Class,Edinburgh to Perth via Doha,May 2024,8/10,3.0,5.0,4.0,4.0,4.0,3,
extremely disappointed,C Hardya,United Arab Emirates,20th May 2024,Trip Verified,20th May 2024,,Family Leisure,Economy Class,Osaka to Dubai via Doha,April 2024,1/10,1.0,4.0,1.0,3.0,1.0,1,
aircraft will not have Qsuites,K Halim,United Arab Emirates,18th May 2024,Trip Verified,18th May 2024,Boeing 787,Boeing 787,Business Class,Doha to Kansai,May 2024,2/10,3.0,3.0,3.0,3.0,1.0,1,
staff are helpful and friendly,Shirley van der Merwe,South Africa,17th May 2024,Not Verified,17th May 2024,A350-1000,A350-1000,Economy Class,Auckland to Johannesburg via Port Elizabeth,May 2024,9/10,3.0,5.0,4.0,5.0,4.0,5,
Cannot fault the service,Peter Standen,Vietnam,11th May 2024,Not Verified,11th May 2024,"Dreamliner, Boeing 777","Dreamliner, Boeing 777",Economy Class,Birmingham to Ho Chi Minh City via Doha,May 2024,9/10,4.0,5.0,2.0,4.0,5.0,4,
unfriendly and rude to me,P Karalati,Canada,7th May 2024,Trip Verified,7th May 2024,,Solo Leisure,Economy Class,Bangalore to Chicago via Doha,March 2024,2/10,2.0,2.0,2.0,,3.0,1,
zero empathy and customer service,Maryam Tajilrou,Canada,7th May 2024,Trip Verified,7th May 2024,,Solo Leisure,Economy Class,Vancouver to Tehran via Seattle and Doha,May 2024,1/10,,,,,1.0,1,
late in serving my meal,E Hassil,France,5th May 2024,Trip Verified,5th May 2024,,Business,Business Class,Hong Kong to Doha,May 2024,2/10,4.0,3.0,2.0,3.0,2.0,2,
really went above and beyond,H Nerazi,United States,4th May 2024,Trip Verified,4th May 2024,,Solo Leisure,Economy Class,Seattle to Jeddah via Doha,March 2024,10/10,5.0,5.0,5.0,4.0,5.0,5,
Very good service onboard,Elias Abdallah,Australia,1st May 2024,Trip Verified,1st May 2024,,Solo Leisure,Economy Class,Melbourne to Dublin via Doha,April 2024,8/10,4.0,5.0,5.0,5.0,4.0,4,
the service was impeccable,Philomena Kilcline,Australia,26th April 2024,Trip Verified,26th April 2024,,Solo Leisure,Economy Class,London Heathrow to Perth via Doha,April 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
did not include lounge access,N Carltan,Australia,26th April 2024,Trip Verified,26th April 2024,,Couple Leisure,Business Class,Istanbul to Doha,March 2024,3/10,3.0,4.0,3.0,5.0,1.0,2,
old business class seats,Alwaleed Althani,Qatar,25th April 2024,Trip Verified,25th April 2024,A350-900,A350-900,Business Class,Johannesburg to Doha,April 2024,5/10,4.0,4.0,1.0,3.0,4.0,2,
vegan meal option impressed me,B Harsen,Cyprus,24th April 2024,Trip Verified,24th April 2024,"A320, Boeing 787","A320, Boeing 787",Economy Class,Larnaca to Colombo via Doha,February 2024,5/10,2.0,4.0,5.0,4.0,4.0,3,
service was fantastic,Alwaleed Althani,Qatar,17th April 2024,Trip Verified,17th April 2024,Boeing 788,Boeing 788,Business Class,Doha to Durban,April 2024,10/10,4.0,5.0,5.0,5.0,5.0,4,
did not entitle me to lounge access,R Mayes,Australia,17th April 2024,Trip Verified,17th April 2024,,Business,Business Class,Gatwick to Sydney via Doha,April 2024,1/10,3.0,1.0,4.0,2.0,1.0,1,
Flight attendants are polite,Yu-Hsiu Chang,Taiwan,15th April 2024,Not Verified,15th April 2024,A350-900 and Boeing 777-300ER,A350-900 and Boeing 777-300ER,Economy Class,Singapore to Athens via Doha,April 2024,9/10,5.0,5.0,5.0,,5.0,5,
long wait for buses,Hassan Halaoui,Kuwait,13th April 2024,Trip Verified,13th April 2024,,Solo Leisure,Economy Class,Phuket to Kuwait via Doha,April 2024,10/10,5.0,5.0,5.0,5.0,5.0,4,
Overall a good flight,Michael Schade,Germany,10th April 2024,Trip Verified,10th April 2024,Boeing 777-300ER,Boeing 777-300ER,Business Class,Frankfurt to Doha,April 2024,8/10,3.0,5.0,3.0,5.0,5.0,3,
did make up for our disappointment,Chris Walsh,United Kingdom,9th April 2024,Trip Verified,9th April 2024,A350,A350,Business Class,Manchester to Doha,April 2024,6/10,3.0,2.0,3.0,2.0,4.0,4,
an enjoyable experience,L Colvin,Kuwait,8th April 2024,Trip Verified,8th April 2024,,Solo Leisure,Economy Class,Rome to Kuwait via Doha,March 2024,9/10,5.0,5.0,5.0,4.0,5.0,5,
compensate us for half of the bags value,M Melcon,Netherlands,5th April 2024,Trip Verified,5th April 2024,,Couple Leisure,Economy Class,Amsterdam to Phnom Penh via Doha,February 2024,2/10,4.0,4.0,4.0,4.0,1.0,1,
not enough food for the 6h flight,Michael Schade,Germany,3rd April 2024,Trip Verified,3rd April 2024,Boeing 787-8,Boeing 787-8,Economy Class,Munich to Doha,March 2024,7/10,3.0,4.0,1.0,5.0,5.0,2,
a great flight,Mike Flynn,United Kingdom,3rd April 2024,Trip Verified,3rd April 2024,A350,A350,Business Class,Doha to London Heathrow,March 2024,9/10,5.0,5.0,5.0,4.0,5.0,5,
What a disappointment,Mike Flynn,United Kingdom,3rd April 2024,Trip Verified,3rd April 2024,A330,A330,Business Class,Colombo to Doha,March 2024,7/10,2.0,5.0,4.0,4.0,4.0,2,
happy to fly with Qatar again,F Turner,United Kingdom,1st April 2024,Trip Verified,1st April 2024,,Couple Leisure,Economy Class,Manchester to Kuala Lumpur via Doha,March 2024,10/10,5.0,5.0,5.0,4.0,5.0,5,
expectedly outstanding,Rajan Parrikar,Iceland,1st April 2024,Trip Verified,1st April 2024,Boeing 787-8,Boeing 787-8,Business Class,Goa to Doha,February 2024,10/10,5.0,5.0,4.0,,5.0,4,
always received fantastic service,Harri Rissanen,Finland,1st April 2024,Trip Verified,1st April 2024,,Solo Leisure,Business Class,Bangkok to Doha,March 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
blame each other for the delay,Tom Carr,United Kingdom,1st April 2024,Trip Verified,1st April 2024,,Couple Leisure,Economy Class,Mumbai to London via Doha,February 2024,1/10,3.0,1.0,,,1.0,1,
Left my mobile phone on flight,P Barrett,United Kingdom,1st April 2024,Trip Verified,1st April 2024,,Couple Leisure,Economy Class,Manchester to Doha,March 2024,1/10,3.0,3.0,2.0,4.0,3.0,1,
American Airlines is lowering the standard,K Hadijar,United States,31st March 2024,Trip Verified,31st March 2024,,Couple Leisure,Economy Class,Doha to Philadelphia,March 2024,6/10,4.0,1.0,2.0,2.0,5.0,4,
QSuite was exceptional,Jim McMahon,Australia,31st March 2024,Trip Verified,31st March 2024,Boeing 777-ER,Boeing 777-ER,Business Class,"Manchester, UK to Doha, Qatar",March 2024,8/10,5.0,5.0,5.0,3.0,5.0,5,
I claimed for the delay,Mohammed Gother,United Kingdom,28th March 2024,Not Verified,28th March 2024,Boeing 787 / 777,Boeing 787 / 777,Business Class,Manchester to Kuala Lumpur via Doha,February 2024,6/10,2.0,5.0,3.0,3.0,5.0,5,
the footrest is too narrow,Michael Schade,Germany,28th March 2024,Trip Verified,28th March 2024,Boeing 787-99,Boeing 787-99,Business Class,Doha to Frankfurt,March 2024,5/10,3.0,1.0,3.0,5.0,4.0,3,
Everything was perfect,Nicolas Rabazzani,France,27th March 2024,Trip Verified,27th March 2024,Boeing 777,Boeing 777,Business Class,Doha to Paris,March 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
Overall a very good flight,Michael Schade,Germany,26th March 2024,Trip Verified,26th March 2024,A332,A332,Business Class,Colombo to Doha,March 2024,9/10,5.0,5.0,3.0,4.0,5.0,4,
was never addressed by name,S Landers,United Kingdom,22nd March 2024,Trip Verified,22nd March 2024,A350,A350,Business Class,Doha to London,January 2024,6/10,5.0,3.0,5.0,5.0,3.0,2,
service great as always,Michael Schade,Germany,19th March 2024,Trip Verified,19th March 2024,Boeing 788,Boeing 788,Business Class,Doha to Colombo,March 2024,6/10,4.0,5.0,1.0,4.0,4.0,3,
Would fly with them again,E Calensca,Australia,19th March 2024,Trip Verified,19th March 2024,Boeing 777,Boeing 777,Economy Class,Doha to Melbourne,February 2024,9/10,4.0,5.0,5.0,4.0,5.0,5,
flights were steady enough,Richard Laycock,United Kingdom,18th March 2024,Trip Verified,18th March 2024,Boeing 777-300,Boeing 777-300,Economy Class,Manchester to Bangkok via Doha,March 2024,6/10,3.0,4.0,2.0,3.0,4.0,2,
Will recommend to others,Harvinder Bakhtawar,Germany,13th March 2024,Not Verified,13th March 2024,,Family Leisure,Economy Class,Munich to Kuala Lumpur via Doha,February 2024,9/10,4.0,5.0,5.0,5.0,5.0,5,
just one meal on this flight,S Maschel,Netherlands,13th March 2024,Trip Verified,13th March 2024,Boeing 789,Boeing 789,Economy Class,Doha to Frankfurt,March 2024,2/10,2.0,2.0,1.0,5.0,4.0,1,
given completely different seats,Daniela Pachova,Bulgaria,10th March 2024,Trip Verified,10th March 2024,,Couple Leisure,Economy Class,Bangkok to Sofia via Doha,March 2024,3/10,2.0,3.0,,,2.0,2,
Very happy with Qatar Airways,Juliet Mowbray,Sweden,9th March 2024,Not Verified,9th March 2024,,Couple Leisure,Economy Class,Zanzibar to Doha,March 2024,8/10,4.0,4.0,5.0,4.0,5.0,4,
Service and catering very good,Michael Schade,Germany,9th March 2024,Trip Verified,9th March 2024,Boeing 777ER,Boeing 777ER,Business Class,Bangkok to Doha,March 2024,8/10,5.0,5.0,5.0,2.0,5.0,4,
marred by inconveniences,Mary Le,United Kingdom,2nd March 2024,Not Verified,2nd March 2024,,Solo Leisure,Economy Class,Tokyo to London Heathrow via Doha,March 2024,1/10,1.0,2.0,2.0,1.0,1.0,1,
seat wouldn't stay up,Brian English,Canada,29th February 2024,Trip Verified,29th February 2024,,Couple Leisure,Business Class,Doha to Montreal,February 2024,1/10,1.0,1.0,,2.0,1.0,1,
no attempt to address our complaint,Wayne Burgess,Australia,29th February 2024,Trip Verified,29th February 2024,A380,A380,Economy Class,Doha to Perth,November 2023,1/10,2.0,3.0,2.0,2.0,1.0,1,
I hope they update the A380,Alwaleed Althani,Qatar,25th February 2024,Trip Verified,25th February 2024,A380-800,A380-800,First Class,Doha to London Heathrow ,February 2024,10/10,5.0,5.0,4.0,3.0,5.0,4,
I’d rate them maybe 7/10,W Warnock,United Kingdom,22nd February 2024,Trip Verified,22nd February 2024,A350,A350,Business Class,Auckland to Doha,February 2024,7/10,3.0,3.0,4.0,4.0,4.0,4,
remarkable experience,Qandeel Ahtasham,United Kingdom,20th February 2024,Trip Verified,20th February 2024,A380,A380,Business Class,Doha to London,February 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
incredible service,N Foster,United States,20th February 2024,Not Verified,20th February 2024,A350-1000,A350-1000,Economy Class,New Delhi to San Francisco ,February 2024,10/10,5.0,5.0,5.0,5.0,4.0,5,
not the extraordinary experience,C Barker,Germany,16th February 2024,Trip Verified,16th February 2024,Boeing 787-9 / A330-300,Boeing 787-9 / A330-300,Economy Class,Dusseldorf to Kilimanjaro via Doha,January 2024,7/10,5.0,4.0,3.0,5.0,4.0,5,
can’t get it any better,B Darnel,Germany,15th February 2024,Trip Verified,15th February 2024,Boeing 787 / 777,Boeing 787 / 777,Business Class,Frankfurt to Melbourne via Doha,February 2024,10/10,5.0,5.0,5.0,5.0,4.0,5,
refuse to fully reimburse me,L Han,United States,14th February 2024,Trip Verified,14th February 2024,,Solo Leisure,Business Class,New York to Johannesburg via Doha,November 2023,4/10,3.0,5.0,4.0,4.0,1.0,3,
Inflight entertainment was top notch,M Leasen,United States,12th February 2024,Trip Verified,12th February 2024,,Solo Leisure,Economy Class,Chicago to Dubai via Doha,January 2024,6/10,3.0,3.0,5.0,4.0,1.0,2,
definitely recommend them,C Mansouri,Qatar,3rd February 2024,Trip Verified,3rd February 2024,,Couple Leisure,Economy Class,Nice to Doha,January 2024,10/10,5.0,5.0,5.0,5.0,5.0,5,
No other airline comes anywhere close,R Turnley,Australia,3rd February 2024,Trip Verified,3rd February 2024,Boeing 777-300,Boeing 777-300,Business Class,Doha to Adelaide,January 2024,7/10,5.0,5.0,5.0,4.0,3.0,5,
it was not the standard expected,Peter Dyson,United Kingdom,27th January 2024,Trip Verified,27th January 2024,Boeing 777,Boeing 777,Business Class,Penang to Doha via Phuket,January 2024,1/10,5.0,1.0,1.0,4.0,5.0,4,
Bags didn’t came on time,Dipal Patel,United States,26th January 2024,Not Verified,26th January 2024,,Family Leisure,Economy Class,Ahmedabad to Detroit via Doha,January 2024,1/10,1.0,1.0,1.0,,1.0,1,
no covered canopy on the stairs,P Craig,Australia,25th January 2024,Trip Verified,25th January 2024,,Solo Leisure,Economy Class,Tbilisi to Doha,December 2023,2/10,3.0,4.0,4.0,1.0,1.0,1,
cabin crews are friendly and professional,Karen Chan,Singapore,22nd January 2024,Trip Verified,22nd January 2024,A350-900/1000,A350-900/1000,Economy Class,Spain to Singapore via Doha,January 2024,8/10,5.0,5.0,4.0,5.0,5.0,4,
genuine warmth and hospitality,David Owen,Australia,18th January 2024,Trip Verified,18th January 2024,A380,A380,First Class,London to Perth via Doha,January 2024,10/10,5.0,5.0,5.0,5.0,5.0,4,
Four excellent flights,G Meares,Lebanon,17th January 2024,Trip Verified,17th January 2024,A350-1000,A350-1000,Economy Class,Beirut to Auckland via Doha,January 2024,8/10,4.0,5.0,4.0,4.0,4.0,4,
lack of empathy,Aled Davies,United Kingdom,15th January 2024,Trip Verified,15th January 2024,,Business,Economy Class,Gatwick to Erbil via Doha,January 2024,1/10,1.0,1.0,,,1.0,1,
offered me a ridiculous compensation,A Qarani,United Kingdom,14th January 2024,Trip Verified,14th January 2024,,Business,Business Class,Bali to London via Doha,January 2024,1/10,1.0,3.0,2.0,1.0,1.0,1,
Flawless onboard service,Rajan Parrikar,Iceland,13th January 2024,Trip Verified,13th January 2024,Boeing 787-8,Boeing 787-8,Business Class,Doha to Goa,January 2024,10/10,5.0,5.0,3.0,4.0,5.0,4,
lived up to its reputation,Rajan Parrikar,Iceland,13th January 2024,Trip Verified,13th January 2024,Boeing 787-9 ,Boeing 787-9 ,Business Class,Copenhagen to Doha ,January 2024,10/10,5.0,5.0,3.0,4.0,4.0,4,
received a below average,Nazir Ahmed,United Kingdom,12th January 2024,Trip Verified,12th January 2024,,Solo Leisure,Economy Class,Doha to Brussels,January 2024,1/10,2.0,1.0,1.0,,3.0,1,
Flight to Doha was good,F Carsen,United States,12th January 2024,Trip Verified,12th January 2024,A350,A350,Business Class,Dallas Ft Worth to Doha ,January 2024,8/10,5.0,3.0,5.0,5.0,2.0,4,
found the cabin crew very professional,Clive Sayers,Australia,11th January 2024,Trip Verified,11th January 2024,,Solo Leisure,Business Class,Manchester to Adelaide via Doha,January 2024,10/10,5.0,5.0,5.0,4.0,4.0,4,
extraordinary efficiency and professionality,Theo Anastasakis,Greece,11th January 2024,Trip Verified,11th January 2024,A350 / Boeing 787,A350 / Boeing 787,Economy Class,Athens to Kolkata via Doha,December 2023,8/10,3.0,5.0,5.0,,3.0,4,
staff were absolutely wonderful,Line Maria Flege,Denmark,9th January 2024,Trip Verified,9th January 2024,,Couple Leisure,Economy Class,Ho Chi Minh to Doha,January 2024,10/10,4.0,5.0,5.0,5.0,5.0,5,
great catering and service,Michael Schade,Germany,7th January 2024,Trip Verified,7th January 2024,Boeing 789 / 773,Boeing 789 / 773,Business Class,Düsseldorf to Bangkok via Doha,December 2023,5/10,5.0,4.0,4.0,4.0,1.0,2,
attempts to obtain a partial refund were ignored,Francesco Leonardi,Switzerland,5th January 2024,Trip Verified,5th January 2024,Boeing 777-300,Boeing 777-300,Business Class,Doha to Bangkok,December 2023,1/10,1.0,3.0,3.0,1.0,3.0,1,
crew was enthusiastic and helpful,Michael Schade,Germany,20th December 2023,Trip Verified,20th December 2023,Boeing 787-9,Boeing 787-9,Economy Class,Doha to Frankfurt,December 2023,9/10,5.0,5.0,4.0,5.0,4.0,4,
seats narrow and uncomfortable,M Haeles,Belgium,20th December 2023,Trip Verified,20th December 2023,Boeing 773,Boeing 773,Economy Class,Bangkok to Doha,December 2023,6/10,2.0,3.0,3.0,2.0,4.0,3,
Service was excellent,Lyn Smithies,Australia,19th December 2023,Not Verified,19th December 2023,A380,A380,Economy Class,Doha to Sydney,November 2023,9/10,5.0,5.0,4.0,5.0,4.0,5,
I would expect a part refund,M Miron,United Kingdom,18th December 2023,Trip Verified,18th December 2023,,Solo Leisure,Economy Class,Ho Chi Minh City to Manchester via Doha,December 2023,1/10,1.0,1.0,1.0,1.0,1.0,1,
Overall excellent experience,Beata Assaad,Kuwait,17th December 2023,Trip Verified,17th December 2023,Boeing 787,Boeing 787,Economy Class,Kuwait to Warsaw via Doha,December 2023,10/10,4.0,5.0,5.0,5.0,5.0,5,
all time most pleasant flight,Mohamed Alkowari,Bahrain,13th December 2023,Trip Verified,13th December 2023,,Solo Leisure,Economy Class,Dubai to Tokyo via Doha,November 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
a level of service second to none,Dev Raghav Handa,United Arab Emirates,11th December 2023,Not Verified,11th December 2023,A350,A350,Business Class,Dubai to Delhi via Doha,November 2023,10/10,3.0,5.0,4.0,4.0,5.0,5,
I will be using Qatar Airways in future,Craig Cutts,United Kingdom,9th December 2023,Trip Verified,9th December 2023,A380 / 777-300ER / A350,A380 / 777-300ER / A350,Economy Class,London to Kuala Lumpur via Doha,December 2023,9/10,4.0,5.0,5.0,5.0,5.0,4,
Very nice flights with Qatar Airways,Cesare Recalcati,Italy,4th December 2023,Trip Verified,4th December 2023,A350 / Boeing 777,A350 / Boeing 777,Economy Class,Milan to Salalah via Doha,December 2023,9/10,4.0,5.0,4.0,3.0,2.0,5,
seats were really uncomfortable,C Dawson,Australia,29th November 2023,Trip Verified,29th November 2023,Boeing 777-300ER,Boeing 777-300ER,Economy Class,Brisbane to Amsterdam via Doha,October 2023,6/10,2.0,4.0,5.0,5.0,4.0,4,
I should have checked my luggage,C Hallam,South Africa,25th November 2023,Trip Verified,25th November 2023,,Business,Economy Class,Doha to Johannesburg,November 2023,3/10,2.0,3.0,3.0,3.0,1.0,2,
we had to repack twice,D Murlen,Switzerland,24th November 2023,Trip Verified,24th November 2023,,Couple Leisure,Economy Class,Mahé to Doha,November 2023,6/10,3.0,4.0,4.0,4.0,1.0,3,
Seats are too narrow,R Rutgers,Netherlands,24th November 2023,Trip Verified,24th November 2023,,Family Leisure,Economy Class,Lusaka to Doha,November 2023,2/10,1.0,3.0,2.0,3.0,1.0,1,
The food was sub par,James Goldie,United Arab Emirates,19th November 2023,Trip Verified,19th November 2023,Boeing 777-300 er,Boeing 777-300 er,Business Class,Istanbul to Dubai via Doha,November 2023,3/10,2.0,1.0,1.0,1.0,3.0,4,
Both flights were excellent,S Barker,United Kingdom,18th November 2023,Trip Verified,18th November 2023,A350 / Boeing 787,A350 / Boeing 787,Economy Class,Melbourne to Manchester via Doha,October 2023,8/10,4.0,5.0,4.0,4.0,5.0,5,
My grievances were ignored,Kiasha Pettigrew,United States,16th November 2023,Trip Verified,16th November 2023,,Solo Leisure,Economy Class,New York to Tbilisi via Doha,October 2023,1/10,1.0,2.0,,,1.0,1,
crew level has come down,Sahil Goel,United States,11th November 2023,Trip Verified,11th November 2023,,Couple Leisure,Business Class,Seattle to Delhi via Doha,November 2023,5/10,5.0,2.0,2.0,3.0,3.0,3,
seats were narrow and uncomfortable,S Halden,Belgium,11th November 2023,Trip Verified,11th November 2023,Boeing 787,Boeing 787,Economy Class,Brussels to Doha,November 2023,2/10,2.0,3.0,1.0,4.0,4.0,1,
my favorite airline at the moment,RM Sinnott,Australia,7th November 2023,Not Verified,7th November 2023,A380 / Boeing 787,A380 / Boeing 787,Economy Class,Perth to Lyon via Doha,November 2023,10/10,4.0,5.0,5.0,4.0,5.0,5,
Food could be improved,D Marsen,Sweden,6th November 2023,Trip Verified,6th November 2023,A350-1000,A350-1000,Business Class,Denpasar to Doha ,November 2023,9/10,5.0,5.0,4.0,5.0,4.0,4,
comfort and quality all top,D Marsen,Sweden,6th November 2023,Trip Verified,6th November 2023,Boeing 787-8,Boeing 787-8,Business Class,Doha to Denpasar ,October 2023,9/10,5.0,5.0,4.0,5.0,4.0,4,
an excelent trip,D Marsen,Sweden,6th November 2023,Trip Verified,6th November 2023,Boeing 787-9,Boeing 787-9,Business Class,Stockholm to Doha ,October 2023,9/10,5.0,5.0,4.0,5.0,4.0,4,
flight attendant Erica was amazing,Tarig Eltigani,United States,2nd November 2023,Trip Verified,2nd November 2023,A350,A350,Economy Class,Doha to Washington,November 2023,10/10,5.0,5.0,5.0,5.0,5.0,5,
paid out the initial compulsory delayed compensation,S Parker,United Kingdom,2nd November 2023,Trip Verified,2nd November 2023,,Business,Business Class,London to Luanda via Doha,June 2023,1/10,3.0,4.0,1.0,1.0,1.0,1,
there were no transfer counters,Anders Pedersen,Denmark,31st October 2023,Trip Verified,31st October 2023,A350-900Q,A350-900Q,Economy Class,Riyadh to Doha,October 2023,6/10,3.0,3.0,2.0,2.0,1.0,4,
A350 is good and comfortable,Charles Price,France,30th October 2023,Trip Verified,30th October 2023,A350 / Boeing 787,A350 / Boeing 787,Economy Class,Zurich to Lusaka via Doha,October 2023,5/10,4.0,2.0,2.0,4.0,2.0,2,
